,Position,Artist,Song Title,artist_pop,track_pop
0,1,Lil Nas X  and  Billy Ray Cyrus,Old Town Road,81,76
1,2,Post Malone and  Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),0,0
2,3,Halsey,Without Me,83,77
3,4,Billie Eilish,Bad Guy,0,0
4,5,Post Malone,Wow.,0,0
5,6,Marshmello and  Bastille,Happier,85,86
6,7,Ariana Grande,7 Rings,87,1
7,8,Khalid,Talk,0,0
8,9,Travis Scott,Sicko Mode,0,0
9,10,Jonas Brothers,Sucker,0,0
10,11,Panic! At The Disco,High Hopes,0,0
11,12,Ariana Grande,"""Thank U, Next""",0,0
12,13,Lizzo,Truth Hurts,81,63
13,14,Sam Smith and  Normani,Dancing With A Stranger,0,0
14,15,Shawn Mendes and  Camila Cabello,Senorita,0,0
15,16,Ed Sheeran and  Justin Bieber,I Don't Care,0,0
16,17,"""benny blanco, Halsey and  Khalid""",Eastside,0,0
17,18,Meek Mill  and  Drake,Going Bad,0,0
18,19,Lady Gaga and  Bradley Cooper,Shallow,0,0
19,20,Khalid,Better,0,0
20,21,Chris Brown  and  Drake,No Guidance,0,0
21,22,Maroon 5  and  Cardi B,Girls Like You,0,0
22,23,Ava Max,Sweet But Psycho,79,80
23,24,DaBaby,Suge,0,0
24,25,J. Cole,Middle Child,0,0
25,26,Lil Baby and  Gunna,Drip Too Hard,0,0
26,27,Lewis Capaldi,Someone You Loved,0,0
27,28,Lil Tecca,Ran$om,0,0
28,29,Shawn Mendes,If I Can't Have You,0,0
29,30,Post Malone  and  Young Thug,Goodbyes,0,0
30,31,Kodak Black  and  Travis Scott and  Offset,ZEZE,0,0
31,32,Post Malone,Better Now,0,0
32,33,5 Seconds Of Summer,Youngblood,0,0
33,34,Drake  and  Rick Ross,Money In The Grave,0,0
34,35,Dan + Shay,Speechless,0,0
35,36,Ariana Grande,"""Break Up With Your Girlfriend, I'm Bored""",0,0
36,37,Cardi B and  Bruno Mars,Please Me,0,0
37,38,Cardi B,Money,70,77
38,39,Taylor Swift,You Need To Calm Down,93,76
39,40,Lil Nas X,Panini,81,70
40,41,A Boogie Wit da Hoodie,Look Back At It,0,0
41,42,21 Savage,A Lot,0,0
42,43,Taylor Swift  and  Brendon Urie,ME!,0,0
43,44,Bad Bunny  and  Drake,MIA,0,0
44,45,Polo G  and  Lil Tjay,Pop Out,0,0
45,46,Luke Combs,Beautiful Crazy,0,0
46,47,Blueface,Thotiana,0,0
47,48,Juice WRLD,Lucid Dreams,0,0
48,49,Sheck Wes,Mo Bamba,0,0
49,50,Ed Sheeran  and  Khalid,Beautiful People,0,0
50,51,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,0,0
51,52,Morgan Wallen,Whiskey Glasses,0,0
52,53,Blake Shelton,God's Country,0,0
53,54,Dean Lewis,Be Alright,0,0
54,55,Mustard and  Migos,Pure Water,0,0
55,56,Blanco Brown,The Git Up,60,2
56,57,"""DJ Snake  and  Selena Gomez, Ozuna and  Cardi B""",Taki Taki,0,0
57,58,Ellie Goulding X Diplo  and  Swae Lee,Close To Me,0,0
58,59,Calboy,Envy Me,0,0
59,60,Lauren Daigle,You Say,0,0
60,61,Panic! At The Disco,"""Hey Look Ma, I Made It""",0,0
61,62,Post Malone,Circles,0,0
62,63,Luke Combs,Beer Never Broke My Heart,0,0
63,64,"""Young Thug, J. Cole and  Travis Scott""",The London,0,0
64,65,Daddy Yankee and  Katy Perry  and  Snow,Con Calma,0,0
65,66,YNW Melly,Murder On My Mind,0,0
66,67,Billie Eilish,When The Party's Over,0,0
67,68,City Girls,Act Up,67,67
68,69,"""Cardi B, Bad Bunny and  J Balvin""",I Like It,0,0
69,70,SHAED,Trampoline,59,64
70,71,Flipp Dinero,Leave Me Alone,0,0
71,72,Ariana Grande,Breathin,0,0
72,73,Billie Eilish,Bury A Friend,0,0
73,74,Lil Baby,Close Friends,0,0
74,75,Pinkfong,Baby Shark,0,0
75,76,Saweetie,My Type,73,70
76,77,YK Osiris,Worth It,0,0
77,78,Jonas Brothers,Only Human,0,0
78,79,Luke Bryan,Knockin' Boots,0,0
79,80,Ella Mai,Trip,0,0
80,81,Lee Brice,Rumor,0,0
81,82,A Boogie Wit da Hoodie  and  6ix9ine,Swervin,0,0
82,83,Sam Smith,How Do You Sleep?,0,0
83,84,Lil Baby and  DaBaby,Baby,90,81
84,85,Thomas Rhett,Look What God Gave Her,0,0
85,86,Kane Brown,Good As You,0,0
86,87,Offset  and  Cardi B,Clout,0,0
87,88,Khalid and  Normani,Love Lies,0,0
88,89,Marshmello and  Kane Brown,One Thing Right,0,0
89,90,Megan Thee Stallion  and  DaBaby,Cash Shit,0,0
90,91,Dan + Shay,Tequila,48,0
91,92,NLE Choppa,Shotta Flow,0,0
92,93,"""Megan Thee Stallion, Nicki Minaj and  Ty Dolla $ign""",Hot Girl Summer,0,0
93,94,Florida Georgia Line,Talk You Out Of It,0,0
94,95,Bazzi  and  Camila Cabello,Beautiful,0,0
95,96,Chase Rice,Eyes On You,0,0
96,97,Dan + Shay,All To Myself,0,0
97,98,Ariana Grande and  Social House,Boyfriend,0,0
98,99,P!nk,Walk Me Home,0,0
99,100,Juice WRLD,Robbery,0,0
100,,,,0,0
101,1,Dua Lipa,Levitating,88,83
102,2,The Weeknd and  Ariana Grande,Save Your Tears,93,88
103,3,The Weeknd,Blinding Lights,93,90
104,4,24kGoldn  and  iann dior,Mood,0,0
105,5,Olivia Rodrigo,Good 4 U,85,27
106,6,Doja Cat  and  SZA,Kiss Me More,0,0
107,7,Silk Sonic (Bruno Mars and  Anderson .Paak),Leave The Door Open,86,31
108,8,Olivia Rodrigo,Drivers License,85,88
109,9,Lil Nas X,Montero (Call Me By Your Name),81,4
110,10,Justin Bieber  and  Daniel Caesar and  Giveon,Peaches,0,0
111,11,BTS,Butter,91,15
112,12,The Kid LAROI and  Justin Bieber,Stay,0,0
113,13,Olivia Rodrigo,Deja Vu,85,88
114,14,Ariana Grande,Positions,87,85
115,15,Ed Sheeran,Bad Habits,90,22
116,16,Glass Animals,Heat Waves,80,85
117,17,The Kid LAROI,Without You,61,0
118,18,Luke Combs,Forever After All,0,0
119,19,Chris Brown and  Young Thug,Go Crazy,86,77
120,20,Masked Wolf,Astronaut In The Ocean,68,79
121,21,Ariana Grande Feat. Doja Cat and  Megan Thee Stallion,34+35,87,80
122,22,Pop Smoke,What You Know Bout Love,83,81
123,23,Machine Gun Kelly X blackbear,My Ex's Best Friend,0,0
124,24,Lil Nas X and  Jack Harlow,Industry Baby,0,0
125,25,Billie Eilish,Therefore I Am,88,75
126,26,Cardi B,Up,81,70
127,27,Walker Hayes,Fancy Like,0,0
128,28,Bad Bunny and  Jhay Cortez,Dakiti,0,0
129,29,Saweetie  and  Doja Cat,Best Friend,79,79
130,30,Polo G,Rapstar,83,49
131,31,Giveon,Heartbreak Anniversary,80,83
132,32,Pop Smoke  and  Lil Baby and  DaBaby,For The Night,0,0
133,33,Lil Tjay  and  6LACK,Calling My Phone,79,80
134,34,Maroon 5  and  Megan Thee Stallion,Beautiful Mistakes,0,0
135,35,Justin Bieber  and  Chance The Rapper,Holy,0,0
136,36,Lil Baby,On Me,0,0
137,37,Tate McRae,You Broke Me First.,0,0
138,38,Olivia Rodrigo,Traitor,0,0
139,39,Pooh Shiesty  and  Lil Durk,Back In Blood,0,0
140,40,Gabby Barrett  and  Charlie Puth,I Hope,0,0
141,41,BTS,Dynamite,0,0
142,42,Moneybagg Yo,Wockesha,0,0
143,43,Doja Cat and  The Weeknd,You Right,88,84
144,44,SpotemGottem  and  Pooh Shiesty Or DaBaby,Beat Box,0,0
145,45,Drake  and  Lil Durk,Laugh Now Cry Later,0,0
146,46,Doja Cat,Need To Know,88,85
147,47,Drake  and  Lil Baby,Wants And Needs,0,0
148,48,Drake  and  Future and  Young Thug,Way 2 Sexy,0,0
149,49,Kali Uchis,Telepatia,0,0
150,50,CJ,Whoopty,63,74
151,51,Internet Money and  Gunna  and  Don Toliver and  NAV,Lemonade,72,76
152,52,SZA,Good Days,82,81
153,53,Chris Stapleton,Starting Over,0,0
154,54,Megan Thee Stallion,Body,0,0
155,55,Taylor Swift,Willow,0,0
156,56,AJR,Bang!,0,0
157,57,Luke Combs,Better Together,0,0
158,58,Yung Bleu  and  Drake,You're Mines Still,0,0
159,59,DJ Khaled  and  Lil Baby and  Lil Durk,Every Chance I Get,0,0
160,60,Wizkid  and  Justin Bieber and  Tems,Essence,0,0
161,61,Ryan Hurd With Maren Morris,Chasing After You,0,0
162,62,Gabby Barrett,The Good Ones,0,0
163,63,Marshmello X Jonas Brothers,Leave Before You Love Me,0,0
164,64,Dan + Shay,Glad You Exist,0,0
165,65,Justin Bieber and  benny blanco,Lonely,0,0
166,66,Maneskin,Beggin',61,61
167,67,Doja Cat,Streets,0,0
168,68,Drake,What's Next,0,0
